# Gold Foil
# reference foil measured at the GILDA-BM08 Bemaline ESRF.FR
# Temperature 300 K
#
# energy     Io,      It       alpha     ----
12653.628220 0.681168 0.308362 0.792532 12653.348860
12656.926210 0.681545 0.309013 0.790981 12656.309290
12660.170920 0.681103 0.309437 0.788957 12659.587380
12663.408550 0.681040 0.310030 0.786952 12663.219260
12666.679900 0.681153 0.310663 0.785079 12666.482150
12670.003790 0.681705 0.311453 0.783350 12669.464820
12673.293070 0.680817 0.311592 0.781598 12672.683520
12676.447170 0.681320 0.312433 0.779644 12676.240960
12679.798540 0.680895 0.312825 0.777764 12679.636460
12683.191580 0.681870 0.313800 0.776083 12682.777160
12686.515720 0.680843 0.313877 0.774328 12685.876370
12689.637970 0.682475 0.315153 0.772669 12689.343190
12692.935740 0.682373 0.315725 0.770704 12692.856880
12696.215360 0.682075 0.316053 0.769231 12696.013970
12699.446860 0.682948 0.316955 0.767658 12698.903410
12702.759970 0.682333 0.317230 0.765890 12702.251260
12705.981640 0.681582 0.317430 0.764160 12705.902980
12709.328320 0.681142 0.317755 0.762491 12709.185680
12712.623490 0.680735 0.318025 0.761043 12712.169980
12715.926030 0.681477 0.318908 0.759362 12715.371000
12719.173620 0.682170 0.319833 0.757481 12719.129520
12722.419620 0.681420 0.320020 0.755795 12722.393090
12725.780940 0.681330 0.320493 0.754188 12725.483380
12729.124080 0.681013 0.320802 0.752755 12728.582610
12732.311850 0.681198 0.321537 0.750738 12732.085780
12735.726630 0.681780 0.322370 0.749007 12735.717520
12738.978150 0.681758 0.322925 0.747254 12738.839000
12742.288350 0.681347 0.323235 0.745693 12741.834880
12745.518800 0.680595 0.323462 0.743884 12745.148170
12748.823630 0.681170 0.324405 0.741819 12748.887940
12752.236520 0.681442 0.325182 0.739825 12752.210200
12755.592000 0.683113 0.326500 0.738230 12755.228780
12758.895590 0.682517 0.326833 0.736340 12758.437520
12762.073250 0.682303 0.327462 0.734100 12762.127190
12765.444260 0.683005 0.328363 0.732384 12765.490590
12768.784610 0.683050 0.328987 0.730548 12768.575740
12772.113320 0.682943 0.329543 0.728705 12771.723200
12775.368620 0.682670 0.330097 0.726624 12775.353060
12778.673970 0.682710 0.330770 0.724647 12778.837280
12781.969880 0.682872 0.331493 0.722703 12782.040380
12785.311430 0.682737 0.331977 0.721043 12785.039920
12788.570410 0.682595 0.332498 0.719269 12788.381740
12791.887430 0.682495 0.333197 0.717020 12792.153540
12795.215260 0.682600 0.333857 0.715195 12795.434330
12798.570840 0.682915 0.334560 0.713554 12798.497980
12801.879760 0.682735 0.335075 0.711752 12801.718780
12805.085550 0.682375 0.335533 0.709861 12805.407900
12808.434130 0.684142 0.337008 0.708061 12808.771590
12811.885080 0.684565 0.337778 0.706396 12811.981750
12815.331200 0.684723 0.338470 0.704578 12815.177520
12818.555350 0.683547 0.338492 0.702794 12818.752900
12821.866070 0.683935 0.339313 0.700941 12822.265870
12825.245360 0.684250 0.340065 0.699187 12825.461740
12828.657110 0.685105 0.341015 0.697646 12828.518950
12831.934760 0.685373 0.341757 0.695861 12831.850270
12835.211900 0.685518 0.342465 0.694005 12835.604760
12838.671180 0.684662 0.342645 0.692231 12838.973690
12842.024570 0.685177 0.343423 0.690716 12842.004550
