# XDI/1.0 Athena/0.9.21
# Element.edge:                  L3
# Element.symbol:                Au
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Athena.e0:                     11920.08429
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.9178349
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.952595 - 0.00032483 * E
# Athena.normalization_range:    150.000 1676.466
# Athena.post_edge_polynomial:   13.110132 - 0.00131986 * E + 3.25230595e-008 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1776.434
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 21.593
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 19.593
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0
  12113.014        1.8707300        1.8908705        1.0179266        1.8945902      -0.60722936E-03   0.14416337E-03    1.0000000
  12115.070        1.8696130        1.8899549        1.0172586        1.8934964      -0.58115460E-03   0.23346373E-04    1.0000000
  12117.192        1.8683020        1.8890042        1.0165695        1.8923683      -0.50969078E-03   0.50616005E-04    1.0000000
  12119.275        1.8674700        1.8880647        1.0158929        1.8912609      -0.36833910E-03   0.64107856E-04    1.0000000
  12121.373        1.8667620        1.8871126        1.0152114        1.8901459      -0.24166033E-03   0.91508560E-04    1.0000000
  12123.454        1.8664600        1.8861622        1.0145353        1.8890399       0.14113605E-04   0.97587138E-04    1.0000000
  12125.482        1.8668200        1.8852309        1.0138765        1.8879626       0.15937499E-03   0.47838040E-04    1.0000000
  12127.489        1.8671030        1.8843044        1.0132247        1.8868970       0.20711666E-03   0.96345837E-04    1.0000000
  12129.552        1.8676630        1.8833464        1.0125544        1.8858013       0.55151893E-03   0.19952040E-03    1.0000000
  12131.595        1.8693680        1.8823930        1.0118907        1.8847167       0.10265150E-02   0.21768064E-03    1.0000000
  12133.624        1.8718430        1.8814415        1.0112317        1.8836401       0.14379210E-02   0.19759089E-03    1.0000000
  12135.666        1.8752210        1.8804793        1.0105685        1.8825569       0.18308009E-02   0.14223816E-03    1.0000000
  12137.643        1.8792000        1.8795434        1.0099264        1.8815083       0.20094994E-02   0.76075092E-04    1.0000000
  12139.725        1.8833780        1.8785530        1.0092500        1.8804041       0.21396064E-02   0.12743698E-03    1.0000000
