# Au fcc                                                         Feff 8.40   
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=79 Rmt= 1.550 Rnm= 1.593 L3 shell
# Pot 1 Z=79 Rmt= 1.528 Rnm= 1.567
# Gam_ch=5.284E+00 H-L exch
# Mu=-4.795E-01 kf=1.866E+00 Vint=-1.374E+01 Rs_int= 1.944
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.8779
#           2       0.00000     24.44      6.00     2   4.0700
#           3       0.00000     11.58     48.00     3   4.3169
#           4       0.00000      5.13     48.00     3   4.9129
#           5       0.00000     56.57     24.00     2   4.9847
#           6       0.00000      9.16     48.00     3   5.3703
#           7       0.00000     23.54     96.00     3   5.3703
#           8       0.00000     18.44     12.00     2   5.7558
#           9       0.00000      7.76     12.00     3   5.7558
#          10       0.00000     74.71     24.00     3   5.7558
#          11       0.00000     12.92     12.00     4   5.7558
#          14       0.00000     79.13     12.00     4   5.7558
#          15       0.00000      6.48     48.00     4   5.7558
#          16       0.00000     26.02     24.00     2   6.4352
#          18       0.00000      6.88     48.00     3   6.6916
#          19       0.00000      8.19     48.00     3   6.6916
#          21       0.00000      6.72     96.00     4   6.8092
#          22       0.00000      4.09     96.00     4   6.8092
#    18/  22 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    13.1500    3.488035E-03  6.034810E-02  5.660650E+01
    13.2000    2.863902E-02  6.482773E-02  5.700624E+01
    13.2500    5.157545E-02  6.814639E-02  5.740712E+01
    13.3000    6.686384E-02  7.024318E-02  5.780802E+01
    13.3500    7.081676E-02  7.109519E-02  5.820800E+01
    13.4000    6.250380E-02  7.071721E-02  5.860622E+01
    13.4500    4.393823E-02  6.916031E-02  5.900185E+01
    13.5000    1.941747E-02  6.650924E-02  5.939399E+01
    13.5500   -5.736640E-03  6.287883E-02  5.978162E+01
    13.6000   -2.662067E-02  5.840937E-02  6.016349E+01
    13.6500   -3.993486E-02  5.326129E-02  6.053801E+01
    13.7000   -4.459124E-02  4.760956E-02  6.090307E+01
    13.7500   -4.163764E-02  4.163824E-02  6.125568E+01
    13.8000   -3.361474E-02  3.553632E-02  6.159141E+01
    13.8500   -2.362155E-02  2.949714E-02  6.190321E+01
    13.9000   -1.441133E-02  2.372623E-02  6.217907E+01
    13.9500   -7.773571E-03  1.847001E-02  6.239744E+01
    14.0000   -4.317844E-03  1.409180E-02  6.252044E+01
    14.0500   -3.572219E-03  1.125077E-02  6.250875E+01
    14.1000   -4.419603E-03  1.049463E-02  6.239716E+01
    14.1500   -5.628190E-03  1.175915E-02  6.233277E+01
    14.2000   -6.082130E-03  1.424377E-02  6.239068E+01
    14.2500   -4.926939E-03  1.729698E-02  6.254301E+01
    14.3000   -1.620067E-03  2.062407E-02  6.275322E+01
    14.3500    4.032844E-03  2.411165E-02  6.299990E+01
    14.4000    1.180353E-02  2.770247E-02  6.327201E+01
    14.4500    2.094155E-02  3.133903E-02  6.356367E+01
    14.5000    3.012572E-02  3.494259E-02  6.387135E+01
    14.5500    3.756462E-02  3.840969E-02  6.419249E+01
    14.6000    4.130603E-02  4.161710E-02  6.452499E+01
    14.6500    3.972755E-02  4.443050E-02  6.486692E+01
    14.7000    3.208123E-02  4.671426E-02  6.521643E+01
    14.7500    1.890024E-02  4.834089E-02  6.557175E+01
    14.8000    2.083948E-03  4.919960E-02  6.593108E+01
    14.8500   -1.543401E-02  4.920392E-02  6.629251E+01
    14.9000   -3.038708E-02  4.829835E-02  6.665391E+01
    14.9500   -4.005370E-02  4.646452E-02  6.701270E+01
    15.0000   -4.303085E-02  4.372765E-02  6.736548E+01
    15.0500   -3.965583E-02  4.017184E-02  6.770470E+01
    15.1000   -3.188880E-02  3.598749E-02  6.802616E+01
    15.1500   -2.244790E-02  3.140576E-02  6.831874E+01
    15.2000   -1.400726E-02  2.679358E-02  6.856492E+01
    15.2500   -8.319131E-03  2.273835E-02  6.874048E+01
    15.3000   -5.677366E-03  2.011200E-02  6.882886E+01
    15.3500   -4.916027E-03  1.980011E-02  6.886413E+01
    15.4000   -3.947345E-03  2.192955E-02  6.893405E+01
    15.4500   -6.475124E-04  2.571768E-02  6.908986E+01
    15.5000    6.230818E-03  3.023048E-02  6.932264E+01
    15.5500    1.645479E-02  3.479733E-02  6.960759E+01
    15.6000    2.824395E-02  3.898731E-02  6.992526E+01
    15.6500    3.877472E-02  4.251919E-02  7.026301E+01
    15.7000    4.508562E-02  4.520648E-02  7.061270E+01
    15.7500    4.506621E-02  4.693125E-02  7.096870E+01
    15.8000    3.818060E-02  4.763274E-02  7.132673E+01
    15.8500    2.567035E-02  4.730335E-02  7.168301E+01
    15.9000    1.016715E-02  4.598901E-02  7.203371E+01
    15.9500   -5.144584E-03  4.379300E-02  7.237438E+01
    16.0000   -1.751635E-02  4.088430E-02  7.269939E+01
    16.0500   -2.525691E-02  3.731436E-02  7.300013E+01
    16.1000   -2.852083E-02  3.369102E-02  7.326608E+01
    16.1500   -2.879544E-02  3.053852E-02  7.348793E+01
    16.2000   -2.810580E-02  2.848242E-02  7.366462E+01
    16.2500   -2.806484E-02  2.806710E-02  7.381473E+01
